frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-4.38,-4.02,-4.38,-4.02,4.02,-0.36,-0.36,-0.36
20.20,-4.39,-4.03,-4.39,-4.03,4.03,-0.36,-0.36,-0.36
20.40,-4.39,-4.04,-4.39,-4.04,4.04,-0.36,-0.36,-0.36
20.61,-4.40,-4.04,-4.40,-4.04,4.04,-0.36,-0.36,-0.36
20.81,-4.40,-4.04,-4.40,-4.04,4.04,-0.36,-0.36,-0.36
21.02,-4.40,-4.04,-4.40,-4.04,4.04,-0.36,-0.36,-0.36
21.23,-4.40,-4.04,-4.40,-4.04,4.04,-0.36,-0.36,-0.36
21.44,-4.39,-4.04,-4.39,-4.04,4.04,-0.36,-0.36,-0.36
21.66,-4.39,-4.03,-4.39,-4.03,4.03,-0.36,-0.36,-0.36
21.87,-4.38,-4.03,-4.38,-4.03,4.03,-0.36,-0.36,-0.36
22.09,-4.37,-4.02,-4.37,-4.02,4.02,-0.36,-0.36,-0.36
22.31,-4.36,-4.00,-4.36,-4.00,4.00,-0.36,-0.36,-0.36
22.54,-4.34,-3.99,-4.34,-3.99,3.99,-0.36,-0.36,-0.36
22.76,-4.33,-3.97,-4.33,-3.97,3.97,-0.36,-0.36,-0.36
22.99,-4.31,-3.95,-4.31,-3.95,3.95,-0.36,-0.36,-0.36
23.22,-4.29,-3.93,-4.29,-3.93,3.93,-0.36,-0.36,-0.36
23.45,-4.26,-3.91,-4.26,-3.91,3.91,-0.36,-0.36,-0.36
23.69,-4.23,-3.88,-4.23,-3.88,3.88,-0.36,-0.36,-0.36
23.92,-4.20,-3.85,-4.20,-3.85,3.85,-0.36,-0.36,-0.36
24.16,-4.17,-3.82,-4.17,-3.82,3.82,-0.36,-0.36,-0.36
24.40,-4.14,-3.78,-4.14,-3.78,3.78,-0.36,-0.36,-0.36
24.65,-4.10,-3.74,-4.10,-3.74,3.74,-0.36,-0.36,-0.36
24.89,-4.06,-3.70,-4.06,-3.70,3.70,-0.36,-0.36,-0.36
25.14,-4.02,-3.66,-4.02,-3.66,3.66,-0.36,-0.36,-0.36
25.39,-3.97,-3.61,-3.97,-3.61,3.61,-0.36,-0.36,-0.36
25.65,-3.92,-3.57,-3.92,-3.57,3.57,-0.36,-0.36,-0.36
25.91,-3.87,-3.52,-3.87,-3.52,3.52,-0.36,-0.36,-0.36
26.16,-3.82,-3.46,-3.82,-3.46,3.46,-0.36,-0.36,-0.36
26.43,-3.76,-3.41,-3.76,-3.41,3.41,-0.36,-0.36,-0.36
26.69,-3.70,-3.35,-3.70,-3.35,3.35,-0.36,-0.36,-0.36
26.96,-3.64,-3.29,-3.64,-3.29,3.29,-0.36,-0.36,-0.36
27.23,-3.58,-3.23,-3.58,-3.23,3.23,-0.36,-0.36,-0.36
27.50,-3.52,-3.16,-3.52,-3.16,3.16,-0.36,-0.36,-0.36
27.77,-3.45,-3.10,-3.45,-3.10,3.10,-0.36,-0.36,-0.36
28.05,-3.39,-3.03,-3.39,-3.03,3.03,-0.36,-0.36,-0.36
28.33,-3.32,-2.96,-3.32,-2.96,2.96,-0.36,-0.36,-0.36
28.62,-3.25,-2.89,-3.25,-2.89,2.89,-0.36,-0.36,-0.36
28.90,-3.18,-2.82,-3.18,-2.82,2.82,-0.36,-0.36,-0.36
29.19,-3.11,-2.75,-3.11,-2.75,2.75,-0.36,-0.36,-0.36
29.48,-3.04,-2.68,-3.04,-2.68,2.68,-0.36,-0.36,-0.36
29.78,-2.97,-2.61,-2.97,-2.61,2.61,-0.36,-0.36,-0.36
30.08,-2.90,-2.54,-2.90,-2.54,2.54,-0.36,-0.36,-0.36
30.38,-2.83,-2.47,-2.83,-2.47,2.47,-0.36,-0.36,-0.36
30.68,-2.76,-2.40,-2.76,-2.40,2.40,-0.36,-0.36,-0.36
30.99,-2.69,-2.34,-2.69,-2.34,2.34,-0.36,-0.36,-0.36
31.30,-2.63,-2.27,-2.63,-2.27,2.27,-0.36,-0.36,-0.36
31.61,-2.57,-2.21,-2.57,-2.21,2.21,-0.36,-0.36,-0.36
31.93,-2.50,-2.15,-2.50,-2.15,2.15,-0.36,-0.36,-0.36
32.24,-2.45,-2.09,-2.45,-2.09,2.09,-0.36,-0.36,-0.36
32.57,-2.39,-2.04,-2.39,-2.04,2.04,-0.36,-0.36,-0.36
32.89,-2.34,-1.98,-2.34,-1.98,1.98,-0.36,-0.36,-0.36
33.22,-2.29,-1.93,-2.29,-1.93,1.93,-0.36,-0.36,-0.36
33.55,-2.24,-1.89,-2.24,-1.89,1.89,-0.36,-0.36,-0.36
33.89,-2.20,-1.85,-2.20,-1.85,1.85,-0.36,-0.36,-0.36
34.23,-2.16,-1.81,-2.16,-1.81,1.81,-0.36,-0.36,-0.36
34.57,-2.12,-1.77,-2.12,-1.77,1.77,-0.36,-0.36,-0.36
34.92,-2.09,-1.74,-2.09,-1.74,1.74,-0.36,-0.36,-0.36
35.27,-2.06,-1.70,-2.06,-1.70,1.70,-0.36,-0.36,-0.36
35.62,-2.03,-1.68,-2.03,-1.68,1.68,-0.36,-0.36,-0.36
35.97,-2.00,-1.65,-2.00,-1.65,1.65,-0.36,-0.36,-0.36
36.33,-1.98,-1.62,-1.98,-1.62,1.62,-0.36,-0.36,-0.36
36.70,-1.96,-1.60,-1.96,-1.60,1.60,-0.36,-0.36,-0.36
37.06,-1.93,-1.58,-1.93,-1.58,1.58,-0.36,-0.36,-0.36
37.43,-1.91,-1.56,-1.91,-1.56,1.56,-0.36,-0.36,-0.36
37.81,-1.89,-1.53,-1.89,-1.53,1.53,-0.36,-0.36,-0.36
38.19,-1.86,-1.51,-1.86,-1.51,1.51,-0.36,-0.36,-0.36
38.57,-1.84,-1.48,-1.84,-1.48,1.48,-0.36,-0.36,-0.36
38.95,-1.81,-1.46,-1.81,-1.46,1.46,-0.36,-0.36,-0.36
39.34,-1.79,-1.43,-1.79,-1.43,1.43,-0.36,-0.36,-0.36
39.74,-1.76,-1.40,-1.76,-1.40,1.40,-0.36,-0.36,-0.36
40.14,-1.72,-1.37,-1.72,-1.37,1.37,-0.36,-0.36,-0.36
40.54,-1.69,-1.33,-1.69,-1.33,1.33,-0.36,-0.36,-0.36
40.94,-1.65,-1.29,-1.65,-1.29,1.29,-0.36,-0.36,-0.36
41.35,-1.61,-1.25,-1.61,-1.25,1.25,-0.36,-0.36,-0.36
