frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
20.20,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
20.40,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
20.61,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
20.81,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
21.02,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
21.23,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
21.44,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
21.66,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
21.87,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
22.09,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
22.31,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
22.54,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
22.76,-1.83,-1.66,-1.83,-1.66,1.66,-0.17,-0.17,-0.17
22.99,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
23.22,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
23.45,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
23.69,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
23.92,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
24.16,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
24.40,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
24.65,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
24.89,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
25.14,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
25.39,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
25.65,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
25.91,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
26.16,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
26.43,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
26.69,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
26.96,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
27.23,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
27.50,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
27.77,-1.84,-1.67,-1.84,-1.67,1.67,-0.17,-0.17,-0.17
28.05,-1.85,-1.68,-1.85,-1.68,1.68,-0.17,-0.17,-0.17
28.33,-1.85,-1.68,-1.85,-1.68,1.68,-0.17,-0.17,-0.17
28.62,-1.85,-1.68,-1.85,-1.68,1.68,-0.17,-0.17,-0.17
